"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Antigua and Barbuda","ATG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","322802913.514263","336953370.402877","364178334.650562","393900513.861076","408927490.924108","408583955.63961","430500438.419011","474260812.686381","510512315.609339","569189724.053971","606906345.335272","638546003.01115","672084214.896725","692325010.739955","707396047.776794","715590002.022208","753373665.688466","803670361.916","768634400.789226","819401304.725953","864231831.157892","905121350.289817","938682296.128043","1001496497.16983","951881612.473067","961629840.268185","1019884496.57692","1078389764.69155","1147540485.65063","1293605261.82583","1413385613.40099","1412959714.1241","1241885105.44827","1152469074.07407","1128507777.84862","1168080135.6583","1166866043.20336","1226398852.85","1276193331.63173","1344373697.9233","1389236109.8626",
"Australia","AUS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","199233335311.047","204185489129.557","206832708442.16","219685868796.259","235017138629.724","249079271685.863","255013563382.021","271085501763.945","284899661266.538","304968445514.788","326841338993.587","339927838396.432","353228164174.958","362460910647.293","377331193579.577","382426440333.903","392323430718.522","406436784541.459","410081589264.555","426663296230.325","439609141781.487","454282671927.023","469401741440.896","458980347967.632","480006879252.198","505203431376.55","525690112039.628","538860353331.047","569473298287.268","591498228010.372","612582484286.091","610208442396.41","612909321559.945","637665212484.226","663034939582.038","688424992380.96","715126459415.518","743491381828.941","777519044571.69","816535447394.947","848732984009.725","865139889945.946","899771632525.692","926636518197.177","963712223078.423","994457691605.883","1022642934821.49","1061271523267.56","1100090360276.03","1121242097879.43","1144260547872.81","1172307576320.87","1217933084117.14","1250080212993.17","1282061484148.13","1312204498894.69","1349304594617.26","1375718249724.1",
"Austria","AUT","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","91836703339.5229","96922600975.7382","99489765786.6089","103606918511.136","109952172697.415","113778700633.421","120199075025.325","123814720654.546","129352102232.948","137470068345.607","146159747322.549","153635772670.608","163173267863.472","171153151159.323","177900244807.952","177253158036.877","185368597102.924","194785286243.434","194374964316","204787047701.607","208332905591.186","208032292628.472","212216351195.68","218525730110.73","218637779730.792","224100834862.979","229258275343.493","232369695258.041","240028322052.062","249358402441.892","260194624813.073","269149554294.002","274784266755.542","276231856329.01","282867273580.389","290414126234.635","297237508056.37","303460462050.854","314328689139.021","325507255365.782","336495475309.688","340759446602.411","346387257223.224","349648400806.147","359211698966.039","367272649488.203","379958397501.957","394121024471.145","399876867204.146","384823180705.023","391892746544.69","403346978477.779","406091530301.534","406195100294.014","409561376690.276","414033189912.921","420040461384.701","432789834749.335",
"Azerbaijan","AZE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22325675014.6271","22169395298.4412","17159111873.5004","13195357108.1839","10595871755.3639","9345558792.93588","9467051075.91296","10016140087.9139","11017754124.5694","11833067993.8748","13146538452.8659","14448045759.6996","15979538494.8706","17769246844.1912","19581710093.0734","24751281715.9126","33290473786.6938","41629404406.7868","46113899018.7892","50453518392.5171","52902703376.1056","52937578302.4383","54102205124.8452","57238335961.2495","58383102680.4744","59025316698.5035","57195531761.5917","57252727186.9126",
"Burundi","BDI","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","596608253.670717","514597677.373498","561236477.601625","584445892.538846","621108404.900661","645749176.597434","675537540.239404","768907087.027305","766616638.352636","755427553.105214","916527545.705429","941702987.478465","881396658.482324","942116521.310875","935268845.712752","941796276.24958","1016599961.55636","1133198416.79516","1122539824.57715","1141229606.95515","1152539828.31177","1292726423.68618","1279106260.4105","1326629240.55262","1328692732.80246","1485254991.58896","1533528459.0815","1617920004.19458","1699317953.86504","1722250287.54589","1782525984.41627","1871595892.56201","1890498980.49241","1772531844.12476","1704643874.55341","1569636079.67758","1444065193.28183","1421104556.74908","1488607023.0819","1473572092.20535","1460945582.56049","1490979805.70997","1557276512.30296","1538219684.21923","1612571959.3767","1627085107.05727","1714698065.64965","1796760633.53677","1887463244.56885","1952928499.631","2026864469.36388","2111823040.97987","2196704928.33329","2297622743.75537","2404713060.02967","2310420828.20521","2297241391.84594","2309167268.07383",
"Belgium","BEL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","120764863189.279","126777048990.526","133384673232.843","139189019707.401","148871960992.012","154172785119.867","159038316308.665","165190152085.361","172118441191.469","183529549253.245","193792159413.007","201516380314.862","212187890638.539","225729089706.297","236034205156.039","231393910573.886","244474020273.279","246004806085.374","252996008246.37","258918829646.89","270425322309.484","269670068733.525","271274570421.547","272120520451.829","278832053833.577","283437781732.075","288604178235.647","295261293665.336","309207101358.308","319934011562.337","329971629163.815","336020254199.932","341163564395.922","337882003882.909","348785359740.469","357103043851.13","362793146259.837","376254386247.224","383686442689.972","397358386026.319","411797007026.657","415138919310.621","422530493925.208","425803276682.695","441279866082.047","450521469885.385","461812169170.948","477739949852.491","481481480330.318","470632861743.554","483548031197.108","492243688300.301","493399461340.966","494389469549.126","500783236684.815","507929197181.313","515102640677.261","524012714948.032",
"Benin","BEN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1265426252.94345","1305176840.54665","1260456133.07626","1320076060.7892","1407871139.77503","1482401906.79932","1535410564.13499","1551968411.17281","1611600246.49176","1657974010.96677","1692754286.41874","1667416432.2107","1774570740.64173","1840339265.9851","1901793938.89223","1808694555.93412","1824689860.78429","1915626267.4681","1939668871.92687","2066440729.96277","2206581860.81568","2426230120.12225","2480457972.97837","2372612057.3104","2560756386.93725","2753589661.14604","2813373991.71362","2771173298.85902","2865538547.23059","2783751478.01027","3033624750.94295","3161819648.03392","3255337130.07533","3445324207.02456","3514933552.72688","3727418268.32545","3888602421.28731","4111601652.35799","4274462692.87475","4502780953.5408","4766643561.74839","5020725247.66353","5253911326.863","5434858389.27326","5675602453.88052","5772744795.73959","6000595826.4159","6359822426.97484","6670811297.13694","6826194585.37376","6970240895.49888","7176751732.08258","7522418417.64518","8063258961.67978","8575423619.90242","8755148067.02613","9102277422.82945","9610566350.93653",
"Burkina Faso","BFA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1153497471.75521","1200144078.72412","1273698494.39634","1257547788.94945","1286255331.61624","1334676997.28504","1341852395.43964","1460248258.7904","1505089181.74741","1535583508.30374","1537380442.1502","1559108853.07615","1595147634.58968","1602315070.06168","1735089730.35784","1787114363.9664","1939642697.91623","1946826233.6606","2036532579.66401","2111163790.67383","2127987208.88243","2218539520.81643","2430680631.95068","2439090416.0079","2395706395.59655","2599757453.52648","2806577589.00363","2799944613.51917","2962218006.55865","3025913610.99051","3007669516.04935","3280464673.78828","3288098668.1456","3401912420.09734","3446647815.81348","3643671090.83705","4045012128.92928","4300528860.1238","4614799451.96413","4956487462.32454","5046707523.52324","5380466456.43255","5614678393.87183","6052760301.03174","6323831618.4998","6871593161.43807","7301284780.41566","7714172808.44856","8276883001.25427","8522045465.25424","8979966766.07232","9575057057.97374","10192906645.5417","10783339866.97","11249917444.6573","11688050885.9058","12380518526.0539","13215293997.0124",
"Bangladesh","BGD","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","17862545310.7226","18944687033.1706","19977746684.2347","19886669277.8428","22064814112.6956","22419232005.0757","22994691542.7769","22563342420.6917","24704480424.0584","25006087027.2168","26411392182.3557","24964184430.4711","21475757025.4792","22189972024.4145","24318424444.0714","23324235189.0411","24644704390.5094","25303471152.2294","27093397642.2551","28394323597.912","28626913390.8931","30697768187.1802","31352959198.5596","32569782092.7714","34134209697.98","35274979988.1662","36747139850.6845","38133389635.1624","39054790276.5184","40162611478.0515","42420657179.7908","43899113723.2774","46288404442.7889","48469311189.3945","50354828679.5772","52933639390.898","55327785139.4964","57811945426.5395","60804885377.3372","63644568604.0114","67013463192.5145","70415929567.4442","73115059421.307","76580396941.519","80592852042.2251","85860356477.7026","91588846353.8372","98053769823.2911","103950517391.466","109194950718.059","115279077465.226","122731159566.449","130734992458.51","138596866823.802","146997351891.58","156629549345.307","167771337874.218","179992151721.964",
"Bulgaria","BGR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","28567896236.6319","29967769392.1755","30667386625.1523","31719371801.814","32796702382.564","33676782455.6654","35093767429.2676","37218524434.8179","41291977325.0305","39933519967.5105","36292630364.1533","33227588804.6568","30811149654.799","30355078448.626","30906937186.9501","31790934141.0586","32014958711.2495","31666373358.603","32762894273.7241","30793894679.843","32315283606.3355","33533640178.6923","35524705563.8283","37356436983.8906","39760457560.5794","42592798158.9278","45520779748.2063","48864017869.2297","51806552050.9002","49948693651.0085","50610058210.3696","51579193177.2032","51595167185.5963","52040002707.4591","52731487748.7478","54639028022.2012","56792405577.3656","58815148233.383",
